mvp_hfr_id,official_hfr_id,hospital_name,source_record_id,address,latitude,longitude,source
HFR_MOCK_000059,,Leo Hospital,71,",,C.T.M.Road, ,C.T.M.Road., Chittoor, Andhra Pradesh - 517325",13.217176,79.1003289,data.gov.in
HFR_MOCK_000060,,M.V.L Hospital,72,"C.T.M Road(Opp State Bank Of India) Madanapalle, C.T.M Road(Opp State Bank Of India) Madanapalle, Chittoor, Andhra Pradesh - 517325",13.5657237,78.5066868,data.gov.in
HFR_MOCK_000061,,Madanapalle Hospital Pvt Ltd,73,"C.T.M Road, Madanapalle, Chittoor, Andhra Pradesh - 517325",13.553374,78.5065719,data.gov.in
HFR_MOCK_000062,,Popular Nursing Home,74,"Gandhi Road,,Gandhi Road, Gandhi Road,Gandhi Road., Chittoor, Andhra Pradesh - 517325",30.3145962,78.0357476,data.gov.in
HFR_MOCK_000063,,Rama Orthopaedic Nursing Home,75,"Iv-5-3, Marpoori Colony, Madanapalle, Chittoor, Andhra Pradesh - 517325",13.5603491,78.5036065,data.gov.in
HFR_MOCK_000064,,Shantharam Hospital,76,"Devi Complex, Oppositesreenivasa Super Market, C.T.M.Road, Madanapalle, Devi Complex, OppositeSreenivasa Super Market, C.T.M.Road, Madanapalle -517325, Chittoor, Andhra Pradesh - 517325",13.553374,78.5065719,data.gov.in
HFR_MOCK_000065,,Sri Kaveri Speciality Hospital,79,"Xvi-618,Seshappa Bungalow,Seshappa Thota,Oppositea.D.S, Punganur Road, Madanapalle, Xvi-618,Seshappa Bungalow,Seshappa Thota,OppositeA.D.S, Punganur Road, Madanapalle,Anantapur,, Chittoor, Andhra Pradesh - 517325",14.6818877,77.6005911,data.gov.in
HFR_MOCK_000066,,Usha Speciality Hospital,80,"Ganesh Hotel Compound , Near .R.T.C Bus Stand,Madanapalle, Ganesh Hotel Compound, Near .R.T.C Bus Stand,Madanapalle, Chittoor, Andhra Pradesh - 517325",13.5603491,78.5036065,data.gov.in
HFR_MOCK_000067,,Viswa Orthopaedic Hospital,81,"D No 11-70, Patel Road Madanapalli, D No 11-70, Patel Road Chittoor Madanapalli 517325  Chittoor, Andhra Pradesh - 517325",13.5603491,78.5036065,data.gov.in
HFR_MOCK_000068,,P E S Institute Of Medical Sciences and Research,83,"Kuppam Palmaner Road, Kuppam Palmaner Road,  - Chittoor, Andhra Pradesh - 517425",12.7279579,78.3512397,data.gov.in
HFR_MOCK_000069,,Rathna Childrens and General Hospital,84,"Palace Road, Kuppam, Chittoor, Andhra Pradesh - 517425",12.7510218,78.340196,data.gov.in
HFR_MOCK_000070,,Sri Priya Nursing Home,85,"A P Vajraveluchetty Street, A P Vajraveluchetty Street Kuppam, A P Vajraveluchetty Street, A P Vajraveluchetty Street Kuppam 517425  Chittoor, Andhra Pradesh - 517425",12.7470314,78.3330157,data.gov.in
HFR_MOCK_000071,,Apollo Multispeciality Hospital,86,"D.No :10-15-189/I2, K.K. Layout, Tirupati, D.No :10-15-189/I2, K.K. Layout, Tirupati, Chittoor, Andhra Pradesh - 517501",13.6403071,79.4176391,data.gov.in
HFR_MOCK_000072,,Asalatha Medicare Pvt Lt,88,"10-15-76/10-3-206(U, Reddy And Reddy Colony Tirupati, 10-15-76/10-3-206(U, Reddy and Reddy Colony Tirupati-Ap, Chittoor, Andhra Pradesh - 517501",13.6320156,79.4260025,data.gov.in
HFR_MOCK_000073,,Balaji Institute Of Surgery Research And Rehabilit,89,"Tirupti (B.I.R.R.D), Chittoor, Andhra Pradesh - 517501",13.217176,79.1003289,data.gov.in
