position_group,latitude,longitude,hospital_count,hospitals,states,districts
"28.034, 76.174",28.0343075,76.17397,1,Ramavatar Bal Hospital,Haryana,Mahendragarh
"28.045, 76.094",28.0447735,76.0938366,1,Shanti Hospital and Research Center,Haryana,Mahendragarh
"28.048, 76.107",28.0483577,76.1069061,1,Podar Eye Hospital and Nursing Home,Haryana,Mahendragarh
"28.058, 76.102",28.0584011,76.1016705,1,Ram Nursing Home,Haryana,Mahendragarh
"28.096, 76.258",28.0959214,76.2583455,1,Surendra Hospital,Haryana,Mahendragarh
"28.097, 76.589",28.0974786,76.5892774,1,Dr B Lal Hospital,Haryana,Rewari
"28.104, 78.355",28.1037911,78.3545378,1,Suiddhi Nursing Home,Karnataka,Belagavi
"28.131, 77.337",28.13062,77.3367498,1,Aastha Hospital,Haryana,Palwal
"28.136, 77.327",28.1358743,77.3266094,1,Sheetal Hospital - Palwal,Haryana,Palwal
"28.139, 77.324",28.1392427,77.3236775,1,Sachin Hospital,Haryana,Palwal
"28.14, 77.331",28.1398531,77.3306028,1,Hamidia Hospital and Poly Clinic,Haryana,Palwal
"28.147, 77.335",28.1467555,77.334825,1,Tewatia Hospital,Haryana,Palwal
"28.178, 76.624",28.1782536,76.6243074,1,Surekha Yadav Maternity Surgical Hospital,Haryana,Rewari
"28.186, 76.614",28.1862453,76.6139278,1,Shri Ashwini Saxena Hospital / Shri A Saxena Hospital,Haryana,Rewari
"28.196, 76.837",28.195935,76.8371345,1,Dr Nand Lal Sharma Memorial Hospital,Haryana,Faridabad
"28.201, 76.591",28.2006666,76.5907109,1,Hemant Hospital,Haryana,Mahendragarh
"28.212, 76.951",28.2119674,76.9512041,1,Dewansh Nursing Home,Haryana,Mewat
"28.238, 83.996",28.237987,83.9955879,1,Agarwal Nursing Home,Bihar,Vaishali
"28.249, 77.065",28.2489639,77.0654188,1,Mann Orthopaedic Hospital,Haryana,Ambala
"28.294, 76.847",28.2944019,76.8466897,1,Shree Sai Hospital and Trauma Centre,Haryana,Gurgaon
"28.328, 77.294",28.3278046,77.2936695,1,Akash Hospital,Haryana,Faridabad
"28.33, 77.067",28.3298823,77.0673928,1,Chc Sohna,Haryana,Gurgaon
"28.337, 77.322",28.3372962,77.3220325,1,Dr Chakra Pal Nursing Home,Haryana,Faridabad
"28.34, 77.315",28.3398491,77.3145349,1,Dewan Memorial Eye Hospital,Haryana,Faridabad
"28.342, 77.335",28.3417926,77.3348239,1,Manju Shree Nursing Home,Haryana,Faridabad
"28.347, 76.76",28.3467326,76.7596221,1,Chiranjiv Hospital and Maternity Home / Chiranjivi Child Hospital / Chiranjeev Hospital,Haryana,Gurgaon
"28.348, 77.339",28.348156,77.338877,1,Bhagwani Nursing Home,Haryana,Faridabad
"28.349, 77.318",28.348807,77.318397,1,Jyoti Eye Hospital,Haryana,Faridabad
"28.352, 77.335",28.3520982,77.33538,1,Chawla Hospital,Haryana,Faridabad
"28.355, 76.938",28.354726,76.9375455,1,Rajesh Hospital,Haryana,Gurgaon
"28.361, 77.298",28.3607568,77.2976157,1,Dr. P. K. Aggrawal,Haryana,Faridabad
"28.361, 77.326",28.3607154,77.3256736,1,Arya Nursing Home,Haryana,Faridabad
"28.362, 77.325",28.3623771,77.3252633,1,Parijat Hospital,Haryana,Faridabad
"28.364, 77.282",28.3636298,77.2821597,1,Janmeda Nursing Home,Haryana,Faridabad
"28.365, 77.324",28.3648292,77.3236745,1,Wadhwa Nursing Home,Haryana,Faridabad
"28.366, 77.258",28.3664733,77.2577713,1,Arihant Hospital and Surgical Centre,Haryana,Faridabad
"28.367, 77.285",28.3669747,77.2847346,1,Ambey Hospital,Haryana,Faridabad
"28.367, 77.306",28.367016,77.3058772,1,Mujesar Clinic,Haryana,Faridabad
"28.368, 76.932",28.3683154,76.9324697,1,Rockland Hospital Limited,Haryana,Gurgaon
"28.371, 77.329",28.3707849,77.3291118,1,Kiran Nursing Home,Haryana,Faridabad
"28.374, 76.897",28.3738339,76.8969724,1,R.N. Hospital and Maternity Centre,Haryana,Gurgaon
"28.375, 76.912",28.3752154,76.9120529,1,Dr. Ashok Jain,Haryana,Gurgaon
"28.381, 77.314",28.3808658,77.3142692,1,Kumar Medical Park,Haryana,Gurgaon
"28.382, 77.293",28.3815727,77.2932373,1,Dr. Sharan Goel,Haryana,Faridabad
"28.384, 77.297",28.3835995,77.2970806,1,Shri Ram Ji Charitable Hospital Society,Haryana,Faridabad
"28.385, 77.303",28.3854404,77.3028582,1,Vishal Dental Clinic,Haryana,Faridabad
"28.386, 77.299",28.3855048,77.2987676,1,Dr. Aroras Nursing Home,Haryana,Faridabad
"28.388, 77.307",28.3882301,77.3069287,1,Fortis Escorts Hospital,Haryana,Faridabad
"28.39, 77.304",28.3898576,77.304441,1,Asha Nursing Home,Haryana,Faridabad
"28.392, 77.302",28.3923556,77.3018553,1,Badshah Khan General Hospital,Haryana,Faridabad
"28.395, 77.047",28.3950645,77.046534,1,Sai Dharamraj Hospital,Haryana,Gurgaon
"28.395, 77.334",28.3947823,77.3338783,1,Eye Care Centre,Haryana,Faridabad
"28.407, 77.33",28.4073009,77.3295708,1,Ahuja Hospital and Maternity Home,Haryana,Faridabad
"28.408, 77.305",28.4075847,77.3054027,1,Dr Ml Gupta Memorial Centre,Haryana,Faridabad
"28.41, 70.31",28.4102309,70.3096613,1,C . Lall Hospital / C.Lal Hospital,Haryana,Ambala
"28.41, 77.292",28.4099478,77.2922784,1,Shanti Memorial Hospital - Faridabad,Haryana,Faridabad
"28.417, 77.048",28.4171718,77.0475421,1,Park Medicenters And Institutions Pvt Ltd.,Haryana,Gurgaon
"28.417, 77.319",28.417103,77.3188031,1,Lal Nursing Home,Haryana,Faridabad
"28.422, 77.079",28.4219753,77.0791496,1,Arihant Hospital,Haryana,Gurgaon
"28.423, 76.903",28.4225732,76.9026943,1,Jyoti Hospital and Trauma Centre,Haryana,Gurgaon
"28.426, 77.095",28.426307,77.0947149,1,Anand Medical Centre,Haryana,Gurgaon
"28.426, 77.097",28.4262171,77.096765,1,Surgicare Hospital,Haryana,Gurgaon
"28.426, 77.383",28.4261665,77.3826107,1,Rajeev Gandhi Memorial Hospital,Haryana,Faridabad
"28.427, 77.295",28.4267151,77.2951617,1,Vandana Surgical and Maternity Home,Haryana,Faridabad
"28.427, 77.297",28.4268543,77.2970239,1,Abhinav Hospital,Haryana,Faridabad
"28.428, 77.099",28.4279354,77.0986251,1,Ashwani Hospital,Haryana,Faridabad
"28.43, 77.067",28.429647,77.06652,1,Artemis Health Institute / Arth Medical Centre,Haryana,Gurgaon
"28.435, 77.003",28.4348057,77.0032153,1,Kathuria Hospital,Haryana,Gurgaon
"28.436, 77.041",28.4357613,77.0406147,1,Medanta The Medicity Global Health Pvt Ltd,Haryana,Gurgaon
"28.443, 77.013",28.4428081,77.0126957,1,Anand Hospital\n,Haryana,Gurgaon
"28.444, 77.011",28.4437428,77.0111419,1,Sunrise Hospital,Haryana,Gurgaon
"28.447, 76.995",28.4472778,76.9946535,1,Sangwan Hospital,Haryana,Gurgaon
"28.447, 77.096",28.4473955,77.0962582,1,"Alchemist Hospital, Gurgaon",Haryana,Gurgaon
"28.448, 77.096",28.4482933,77.0955136,1,Alchemist Hospitals Ltd,Haryana,Gurgaon
"28.451, 77.017",28.4514004,77.0168634,1,Prime Multispeciality Hospital,Haryana,Gurgaon
"28.452, 77.042",28.4517387,77.0421171,1,Dayal Eye Centre,Haryana,Gurgaon
"28.452, 77.054",28.4524631,77.0543486,1,Chaudry Medical And Maternity Hospital / Chaudhry Medical and Maternity Hospital,Haryana,Karnal
"28.453, 77.048",28.4532055,77.0480158,1,Orbit Hospital,Haryana,Gurgaon
"28.453, 77.051",28.4530734,77.0509849,1,Vibal Hospital Private Limited - Faridabad,Haryana,Faridabad
"28.454, 77.021",28.4539065,77.020619,1,Nangia Hospital Ent and Maternity,Haryana,Gurgaon
"28.455, 77.015",28.455072,77.014676,1,Mangalam Hospital and Heart Centre,Haryana,Gurgaon
"28.455, 77.032",28.455354,77.032304,1,Mathur Medical And Child Care Centre,Haryana,Gurgaon
"28.456, 77.023",28.4563129,77.022695,1,Parashar Hospital,Haryana,Gurgaon
"28.456, 77.04",28.4560817,77.0400155,1,Ahmed Hospital Multi Speciality,Haryana,Gurgaon
"28.457, 76.99",28.4573069,76.9904789,1,Shri Balaji Hospital and Trauma Centre,Haryana,Gurgaon
